chinese,english,status,source
作贼心虚,a thief has a guilty conscience,VERIFIED,PETCI
作恶多端,commit all sorts of wickedness,VERIFIED,PETCI
作威作福,lord it over,VERIFIED,PETCI
侃侃而谈,talk with ease and fluency,VERIFIED,PETCI
来龙去脉,sequence of events,VERIFIED,PETCI
来者不拒,all comers are welcome,VERIFIED,PETCI
来者不善，善者不来,"those who have come are not friendly, these who are friendly have not come",VERIFIED,PETCI
来日方长,there will be ample time,VERIFIED,PETCI
来踪去迹,traces of something,VERIFIED,PETCI
来而不往非礼也,it is impolite not to reciprocate,VERIFIED,PETCI
供不应求,supply falls short of demand,VERIFIED,PETCI
依然故我,one's circumstances haven't changed much,VERIFIED,PETCI
依然如故,remain unchanged,VERIFIED,PETCI
依依不舍,reluctant to part from,VERIFIED,PETCI
依样画葫芦,follow the beaten track,VERIFIED,PETCI
依违两可,be undecided,VERIFIED,PETCI
便宜行事,act as one sees fit,VERIFIED,PETCI
促膝谈心,have a heart-to-heart talk,VERIFIED,PETCI
俗不可耐,unbearably vulgar,VERIFIED,PETCI
信步闲游,take a leisurely walk,VERIFIED,PETCI
信马由缰,let things take their natural course,VERIFIED,PETCI
信口开河,talk nonsense,VERIFIED,PETCI
信口雌黄,make deceitful statements or unfounded charges,VERIFIED,PETCI
信誓旦旦,vow solemnly,VERIFIED,PETCI
信手拈来,"have words, material, etc. at one's fingertips and write with facility pick up something at random",VERIFIED,PETCI
信赏必罚,due rewards and punishments will be meted out without fail,VERIFIED,PETCI
信而有征,borne out by evidence,VERIFIED,PETCI
修旧利废,repair and utilize old or discarded things,VERIFIED,PETCI
俯拾即是,can be found everywhere,VERIFIED,PETCI
俯首帖耳,obedience and servility to,VERIFIED,PETCI
俯首听命,submissively hear and obey,VERIFIED,PETCI
俯仰之间,in the twinkling of an eye,VERIFIED,PETCI
俯仰由人,be at somebody's beck and call,VERIFIED,PETCI
倒背如流,know something thoroughly by heart,VERIFIED,PETCI
倒打一耙,make unfounded counter charges,VERIFIED,PETCI
倒果为因,reverse cause and effect,VERIFIED,PETCI
倒行逆施,set back the clock,VERIFIED,PETCI
倚老卖老,flaunt one's seniority,VERIFIED,PETCI
倚官仗势,count on one's powerful connections,VERIFIED,PETCI
借刀杀人,do harm to somebody through the hands of another,VERIFIED,PETCI
借题发挥,seize on some pretext to distort,VERIFIED,PETCI
借古讽今,use the past to disparage the present,VERIFIED,PETCI
借花献佛,borrow flowers to offer Buddha - offer somebody favors at the expense of another,VERIFIED,PETCI
借尸还魂,be reincarnated in somebody else's body,VERIFIED,PETCI
偃旗息鼓,lower the banners one muffle the drums,VERIFIED,PETCI
偃武修文,leave military pursuits and promote culture,VERIFIED,PETCI
假公济私,use public office for private gain,VERIFIED,PETCI
假仁假义,pretend to be the paragon of virtue,VERIFIED,PETCI
偏听偏信,listen only to one side,VERIFIED,PETCI
做一天和尚撞一天钟,follow a routine,VERIFIED,PETCI
停滞不前,be at a standstill,VERIFIED,PETCI
侧目而视,take a sidelong glance at,VERIFIED,PETCI
偶一为之,do something by chance,VERIFIED,PETCI
偷偷摸摸,covertly,VERIFIED,PETCI
偷天换日,audacious scheme of cheating people,VERIFIED,PETCI
偷梁换柱,resort to fraudulence,VERIFIED,PETCI
偷工减料,use inferior materials and turn out sub-standard goods,VERIFIED,PETCI
偷鸡不成蚀把米,try to steal a chicken only to end up losing the rice,VERIFIED,PETCI
偷鸡摸狗,crooked dealings,VERIFIED,PETCI
傍人门户,be dependent on somebody for living,VERIFIED,PETCI
债台高筑,run heavily into debt,VERIFIED,PETCI
伤风败俗,corrupt public morals,VERIFIED,PETCI
伤天害理,"extremely savage, cruel and brutal",VERIFIED,PETCI
倾盆大雨,heavy downpour,VERIFIED,PETCI
倾家荡产,bring the family to ruin,VERIFIED,PETCI
倾箱倒箧,turn out all one's boxes and suitcases,VERIFIED,PETCI
倾巢出犯,turn out in full force,VERIFIED,PETCI
倾城倾国,exceedingly beautiful,VERIFIED,PETCI
侥幸取胜,win by a fluke,VERIFIED,PETCI
价廉物美,low prices and fine quality,VERIFIED,PETCI
价值连城,priceless,VERIFIED,PETCI
傻头傻脑,foolish-looking,VERIFIED,PETCI
优胜劣败,survival of the fittest,VERIFIED,PETCI
优柔寡断,weak-minded,VERIFIED,PETCI
优哉游哉,living a life of case and leisure,VERIFIED,PETCI
倘来之物,windfall,VERIFIED,PETCI
兄弟阋于墙,quarrel between brothers,VERIFIED,PETCI
兄弟阋于墙，外御其侮,internal disunity dissolves at the threat of external invasion,VERIFIED,PETCI
充耳不闻,turn a deaf ear to,VERIFIED,PETCI
先发制人,preemptive,VERIFIED,PETCI
先睹为快,consider if a pleasure to be among the first to read,VERIFIED,PETCI
先天不足,suffer from an inherent shortage,VERIFIED,PETCI
先天下之忧而忧，后天下之乐而乐,the first to show concern and the last to enjoy himself,VERIFIED,PETCI
先礼后兵,try peaceful means before resorting to force,VERIFIED,PETCI
先见之明,be far-sighted,VERIFIED,PETCI
先下手为强,the early bind catches the worm,VERIFIED,PETCI
先知先觉,prophet,VERIFIED,PETCI
先斩后奏,empowered to kill first then report later,VERIFIED,PETCI
先声夺人,overawe others by displaying one's strength,VERIFIED,PETCI
先入之见,prejudice,VERIFIED,PETCI
先入为主,first impressions are strongest,VERIFIED,PETCI
先务之急,a matter of great urgency,VERIFIED,PETCI
光芒万丈,shining with boundless radiance,VERIFIED,PETCI
光明磊落,frank and forthright,VERIFIED,PETCI
光明正大,fair and square,VERIFIED,PETCI
光复旧物,recover lost territory,VERIFIED,PETCI
光天化日,broad daylight,VERIFIED,PETCI
光怪陆离,bizarre and motley,VERIFIED,PETCI
光宗耀祖,bring honor to one's ancestors,VERIFIED,PETCI
光彩夺目,so bright that it dazzles the eye,VERIFIED,PETCI
光阴似箭,how time flies,VERIFIED,PETCI
克敌制胜,conquer the enemy,VERIFIED,PETCI
克己奉公,work selflessly for the common good,VERIFIED,PETCI
克勤克俭,practise diligence and economy,VERIFIED,PETCI
兔子不吃窝边草,a rabbit doesn't eat the grass near its hole,VERIFIED,PETCI
兔子尾巴长不了,won't last long,VERIFIED,PETCI
兔死狗烹,the hounds are killed for food once all the hares are bagged,VERIFIED,PETCI
兔死狐悲,like mourns over the death of like,VERIFIED,PETCI
兢兢业业,be cautious and attentive,VERIFIED,PETCI
入不敷出,unable to make ends meet,VERIFIED,PETCI
入木三分,keen,VERIFIED,PETCI
入国问俗,learn about customs and habits of the country one goes to,VERIFIED,PETCI
入境问禁,on entering a country inquire about the prohibitions,VERIFIED,PETCI
入情入理,perfectly logical and reasonable,VERIFIED,PETCI
入乡随俗,when in Rome do as the Romans do,VERIFIED,PETCI
内忧外患,domestic trouble and foreign invasion,VERIFIED,PETCI
内外交困,be in dire straits at home and abroad,VERIFIED,PETCI
全力以赴,strain every nerve,VERIFIED,PETCI
全军覆没,be completely wiped out,VERIFIED,PETCI
全心全意,complete devotion,VERIFIED,PETCI
全神贯注,be absorbed in,VERIFIED,PETCI
两败俱伤,both sides suffer,VERIFIED,PETCI
两面讨好,try to keep the favor of both sides in a dispute,VERIFIED,PETCI
两面三刀,double-faced tactics,VERIFIED,PETCI
两全其美,serve a twofold purpose,VERIFIED,PETCI
两小无猜,be innocent playmates,VERIFIED,PETCI
两袖清风,have clean hands,VERIFIED,PETCI
两厢情愿,both parties are willing,VERIFIED,PETCI
八面玲珑,be a good mixer,VERIFIED,PETCI
八面威风,an awe-inspiring reputation extending in every direction,VERIFIED,PETCI
八仙过海，各显神通,try to outshine each other,VERIFIED,PETCI
公报私仇,avenge a personal wrong in the name of public interests,VERIFIED,PETCI
公诸同好,share enjoyment with those of the same taste,VERIFIED,PETCI
公事公办,business is business,VERIFIED,PETCI
公说公有理，婆说婆有理,both parties claim to be in the right,VERIFIED,PETCI
公而忘私,selfless,VERIFIED,PETCI
六亲不认,turn one's back on ones own flesh and blood,VERIFIED,PETCI
六神无主,in a state of utter stupefaction,VERIFIED,PETCI
兵不血刃,win without using weapons or losing a life,VERIFIED,PETCI
兵不厌诈,all is fair in war,VERIFIED,PETCI
兵连祸结,war-ridden,VERIFIED,PETCI
兵临城下,the city is under siege,VERIFIED,PETCI
兵贵神速,speed is precious in war,VERIFIED,PETCI
兵荒马乱,turmoil and chaos of war,VERIFIED,PETCI
兵强马壮,well-trained and powerful army,VERIFIED,PETCI
兵戎相见,resort to arms,VERIFIED,PETCI
其貌不扬,his appearance is by no means imposing,VERIFIED,PETCI
其乐无穷,it is a great joy to,VERIFIED,PETCI
其势汹汹,look threatening,VERIFIED,PETCI
其味无穷,a lasting pleasant taste,VERIFIED,PETCI
具体而微,miniature,VERIFIED,PETCI
兼听则明，偏信则暗,listen to both sides and you will be enlightened,VERIFIED,PETCI
兼收并蓄,swallow anything and everything,VERIFIED,PETCI
兼容并包,catholic,VERIFIED,PETCI
再接再厉,intensify one's efforts,VERIFIED,PETCI
再衰三竭,be nearing exhaustion,VERIFIED,PETCI
再三再四,time and again,VERIFIED,PETCI
冒名顶替,take another's place by assuming his name,VERIFIED,PETCI
冒天下之大不韪,be against the world,VERIFIED,PETCI
冠冕堂皇,impressive looking,VERIFIED,PETCI
冤家路窄,inevitable confrontation,VERIFIED,PETCI
冥思苦想,cudgel one's brains,VERIFIED,PETCI
冥顽不灵,stupid,VERIFIED,PETCI
冰冻三尺，非一日之寒,the trouble has been brewing for quite some time,VERIFIED,PETCI
冰炭不相容,as incompatible as ice and hot coals,VERIFIED,PETCI
冰天雪地,a world of ice and snow,VERIFIED,PETCI
冰消瓦解,disintegrate,VERIFIED,PETCI
冷嘲热讽,sarcasm,VERIFIED,PETCI
冷若冰霜,as cold as ice,VERIFIED,PETCI
冷眼旁观,stand aloof and look on with cold indifference,VERIFIED,PETCI
冷言冷语,mocking words,VERIFIED,PETCI
凡事预则立，不预则废,preparedness ensures success and unpreparedness spells failure,VERIFIED,PETCI
凯旋归来,return with flying colors,VERIFIED,PETCI
凶多吉少,bode ill rather than well,VERIFIED,PETCI
凶相毕露,bare one's fangs,VERIFIED,PETCI
凶神恶煞,fiends,VERIFIED,PETCI
出没无常,appear unpredictably,VERIFIED,PETCI
出谋划策,give counsel,VERIFIED,PETCI
出头露面,in the limelight,VERIFIED,PETCI
出类拔萃,tower above the rest,VERIFIED,PETCI
出乖露丑,expose one's weak points,VERIFIED,PETCI
出口成章,make a polished impromptu speech,VERIFIED,PETCI
出其不意,take somebody by surprise,VERIFIED,PETCI
出奇制胜,win by novelty,VERIFIED,PETCI
出神入化,reach the acme of perfection,VERIFIED,PETCI
出生入死,through thick and thin,VERIFIED,PETCI
出人头地,stand out among others,VERIFIED,PETCI
出人意表,exceeding all expectations,VERIFIED,PETCI
出尔反尔,go back on one's words,VERIFIED,PETCI
出言不逊,use rude Language,VERIFIED,PETCI
刀耕火种,slash-and-burn cultivation,VERIFIED,PETCI
刀光剑影,the glint and flash of cold steel is already visible,VERIFIED,PETCI
刀山火海,a mountain of swords and a sea of flames,VERIFIED,PETCI
刁钻古怪,wily and eccentric,VERIFIED,PETCI
分崩离析,fall to pieces,VERIFIED,PETCI
分门别类,classify,VERIFIED,PETCI
分秒必争,every second counts,VERIFIED,PETCI
分庭抗礼,stand up to,VERIFIED,PETCI
分路扬镳,part company with,VERIFIED,PETCI
切肤之痛,deep grief,VERIFIED,PETCI
切齿痛恨,grind one's teeth in hatred,VERIFIED,PETCI
切磋琢磨,compare notes,VERIFIED,PETCI
刎颈之交,friends sworn to death,VERIFIED,PETCI
初露锋芒,display one's talent for the first time,VERIFIED,PETCI
初出茅庐,a new hand,VERIFIED,PETCI
初生之犊不怕虎,young people are fearless,VERIFIED,PETCI
删繁就简,simplify something by cutting out the superfluous,VERIFIED,PETCI
判若云泥,poles apart,VERIFIED,PETCI
别开生面,break fresh ground,VERIFIED,PETCI
别久情疏,"out of sight, out of mind",VERIFIED,PETCI
别具一格,having a unique style,VERIFIED,PETCI
别树一帜,get out of the rut,VERIFIED,PETCI
别出心裁,have an unconventional idea,VERIFIED,PETCI
别有天地,a different world,VERIFIED,PETCI
别有用心,with ulterior motives,VERIFIED,PETCI
别无长物,have only bare necessities,VERIFIED,PETCI
利令智昏,be mesmerized by money,VERIFIED,PETCI
利害攸关,closely bound up with,VERIFIED,PETCI
利欲熏心,be lured by the desire for profits,VERIFIED,PETCI
刮目相看,treat somebody with increased respect,VERIFIED,PETCI
到什么山唱什么歌,when in Rome do as the Romans do,VERIFIED,PETCI
刺刺不休,talk incessantly,VERIFIED,PETCI
刻不容缓,must not lose a minute,VERIFIED,PETCI
刻骨铭心,bear in mind forever,VERIFIED,PETCI
刻舟求剑,ridiculous stupidity,VERIFIED,PETCI
刻意求工,try to do one's very best to achieve perfection,VERIFIED,PETCI
削足适履,cut the feet to fit the shoes,VERIFIED,PETCI
前怕狼，后怕虎,be plagued by all sorts of fears,VERIFIED,PETCI
前仆后继,with fresh forces always stepping forward as others fell,VERIFIED,PETCI
前门拒虎，后门进狼,fend off one danger only to fall prey to another,VERIFIED,PETCI
前仆后继,advance wave upon wave,VERIFIED,PETCI
前途无量,have a very promising future,VERIFIED,PETCI
前功尽弃,all one's previous efforts are wasted,VERIFIED,PETCI
前呼后拥,with many attendants crowding round,VERIFIED,PETCI
前倨后恭,change from arrogance to humility,VERIFIED,PETCI
前车之覆，后车之鉴,one should take warning from another's mistake,VERIFIED,PETCI
前车之鉴,lessons drawn from others' mistakes,VERIFIED,PETCI
前前后后,the whole story,VERIFIED,PETCI
前事不忘，后事之师,"past experience, if not forgotten, is a guide for the future",VERIFIED,PETCI
前人栽树，后人乘凉,profiting by the labor of one's forefathers,VERIFIED,PETCI
前思后想,turn over in one's mind,VERIFIED,PETCI
前所未有,unprecedented,VERIFIED,PETCI
前所未闻,unheard-of,VERIFIED,PETCI
前因后果,the entire process,VERIFIED,PETCI
前无古人,without parallel in history,VERIFIED,PETCI
剖腹藏珠,die for the sake of gain,VERIFIED,PETCI
刚愎自用,opinionated,VERIFIED,PETCI
刚正不阿,upright end never stooping to flattery,VERIFIED,PETCI
剜肉补疮,resort to a remedy worse than the ailment,VERIFIED,PETCI
创巨痛深,badly injured and in great pain,VERIFIED,PETCI
劈头盖脸,direct in the face,VERIFIED,PETCI
剑拔弩张,becoming dangerously explosive,VERIFIED,PETCI
力不胜任,beyond one's capacity,VERIFIED,PETCI
力不从心,the strength not equal to the will,VERIFIED,PETCI
力排众议,prevail over all dissenting views,VERIFIED,PETCI
力争上游,aim high,VERIFIED,PETCI
力所不及,above one's reach,VERIFIED,PETCI
力所能及,do everything in one's power,VERIFIED,PETCI
力挽狂澜,make vigorous efforts to turn the tide,VERIFIED,PETCI
功败垂成,fail when success is already in sight,VERIFIED,PETCI
功德无量,boundless beneficence,VERIFIED,PETCI
功到自然成,constant effort yields sure success,VERIFIED,PETCI
功亏一篑,fall short of success at the last stage,VERIFIED,PETCI
劣迹昭著,notorious,VERIFIED,PETCI
助纣为虐,encourage oppression,VERIFIED,PETCI
助人为乐,take pleasure in helping others,VERIFIED,PETCI
劫富济贫,rob the rich and help the poor,VERIFIED,PETCI
勇冠三军,distinguish oneself by peerless valor in battle,VERIFIED,PETCI
勇武逼人,surpass others in valour be surpassingly valorous,VERIFIED,PETCI
勇往直前,march forward without hesitation,VERIFIED,PETCI
勉为其难,undertake to do a difficult job as best as one can,VERIFIED,PETCI
动辄得咎,be blamed for every move,VERIFIED,PETCI
胜败乃兵家之常,defeats or victories are ordinary things to a general,VERIFIED,PETCI
胜不骄，败不馁,"not puffed up by success, undismayed by failure",VERIFIED,PETCI
胜任愉快,be well qualified,VERIFIED,PETCI
劳民伤财,waste of manpower and public funds,VERIFIED,PETCI
劳苦功高,have worked hard and performed a valuable service,VERIFIED,PETCI
劳而无功,work fruitlessly,VERIFIED,PETCI
劳逸结合,strike a proper balance between work and leisure,VERIFIED,PETCI
势不两立,completely incompatible,VERIFIED,PETCI
势不可挡,overwhelming,VERIFIED,PETCI
势均力敌,be evenly matched,VERIFIED,PETCI
势成骑虎,in the position of one riding a tiger,VERIFIED,PETCI
势如破竹,with irresistible force,VERIFIED,PETCI
势在必行,be imperative,VERIFIED,PETCI
